type,id,name,spectral_type,x_pc,y_pc,z_pc,vx_kms,vy_kms,vz_kms,temperature_k,mass_solar,luminosity_solar,radius_solar,metallicity_dex,age_gyr,absolute_mag,epoch,notes,constellation,ra_deg,dec_deg,astrometry_epoch,parallax_mas,parallax_error_mas,pm_ra_cosdec_masyr,pm_ra_error_masyr,pm_dec_masyr,pm_dec_error_masyr,radial_velocity_kms,radial_velocity_error_kms,astrometry_ref,radial_velocity_ref
star,sirius-a,Sirius A,A1V,-1.770640,-1.914144,-0.407875,14.960,0.257,-11.344,9845,2.063,24.74,,,,1.42,2000.0,"Sirius system position and physical properties use Bond et al. (2017), including the adopted 378.9 mas parallax. The component offset is below this catalog's spatial precision. Motion: system motion shared by A and B; Hipparcos proper motion (SIMBAD HIP 32349; 2007A&A...474..653V) and true systemic RV -8.47 km/s from Bond et al. (2017) section V.1. No binary orbital motion; Galactic conversion documented in README.",Canis Major,101.287155333,-16.716115861,2000.0,379.21,1.58,-546.01,1.33,-1223.07,1.24,-5.5,0.4,2007A&A...474..653V,2006AstL...32..759G
white_dwarf,sirius-b,Sirius B,DA2,-1.770640,-1.914144,-0.407875,14.960,0.257,-11.344,25369,1.018,,,,,11.34,2000.0,Sirius system position and white-dwarf properties use Bond et al. (2017). The component offset is below this catalog's spatial precision. Motion: inherited Sirius system motion as for A; Hipparcos proper motion (2007A&A...474..653V) and true systemic RV -8.47 km/s from Bond et al. (2017) section V.1. Not the white dwarf's gravitationally redshifted RV; no binary orbital motion.,Canis Major,101.286625521,-16.720932526,2016.0,374.4896,0.2313,-461.57050553,0.2779457,-914.519620902,0.33150372,,,2020yCat.1350....0G,
star,luyten-726-8-a,Luyten 726-8 A,M5.5Ve,-0.662073,0.052281,-2.605437,,,,2930,0.102,,,,,15.40,2000.0,System position from J2000 direction and 371.92 mas parallax reported by the GRAVITY Collaboration (2024). Temperature is an M5.5V class estimate.,Cetus,24.771554293,-17.948299887,2016.0,367.7119,0.7418,3385.315810465,0.67216444,544.386384562,0.3787539,,,2020yCat.1350....0G,
star,luyten-726-8-b,Luyten 726-8 B,M6.0Ve,-0.662073,0.052281,-2.605437,,,,2810,0.100,,,,,15.85,2000.0,System position from J2000 direction and 371.92 mas parallax reported by the GRAVITY Collaboration (2024). Temperature is an M6V class estimate.,Cetus,24.771674208,-17.94768286,2016.0,373.8443,0.5009,3178.694257575,0.42692018,584.061335039,0.30229247,,,2020yCat.1350....0G,
star,ross-154,Ross 154,M3.5Ve,2.871304,0.574127,-0.531321,-12.027,-1.006,-7.302,3270,0.170,,,,,13.07,2000.0,Position from J2000 direction and Gaia EDR3 parallax 336.0266 mas (SIMBAD/CNS5). Temperature is an M3.5V class estimate. Motion: SIMBAD GJ 729; Gaia EDR3 proper motion (2020yCat.1350....0G) and RV -10.494 km/s (2018A&A...616A...7S); converted to Sun-relative Galactic axes as documented in README.,Sagittarius,282.458789018,-23.837097449,2016.0,336.0266,0.0317,639.367850336,0.03683873,-193.957925071,0.031829588,-10.494,0.0083,2020yCat.1350....0G,2018A&A...616A...7S
star,ross-248,Ross 248,M5.5Ve,-1.033255,2.840515,-0.920787,32.381,-74.367,0.229,2930,0.136,,,,,14.79,2000.0,Position from J2000 direction and Gaia EDR3 parallax 316.4812 mas (SIMBAD/CNS5). Temperature is an M5.5V class estimate. Motion: SIMBAD GJ 905; Gaia EDR3 proper motion (2020yCat.1350....0G) and RV -77.51 km/s (2018MNRAS.475.1960F); converted to Sun-relative Galactic axes as documented in README.,Andromeda,355.480015258,44.170375701,2016.0,316.4812,0.0444,112.527464933,0.036434025,-1591.649761815,0.026793785,-77.764,0.0108,2020yCat.1350....0G,2018A&A...616A...7S
star,epsilon-eridani,Epsilon Eridani,K2V,-2.070546,-0.587646,-2.394721,-3.597,7.093,-20.649,5100,0.820,,,,,6.19,2000.0,Position from J2000 direction and Gaia EDR3 parallax 310.5773 mas (SIMBAD/CNS5). Temperature is a K2V class estimate. Motion: SIMBAD GJ 144; Gaia EDR3 proper motion (2020yCat.1350....0G) and RV 16.376 km/s (2018A&A...616A...7S); converted to Sun-relative Galactic axes as documented in README.,Eridanus,53.228293415,-9.458168216,2016.0,310.5773,0.1355,-974.75814525,0.15972257,20.87584009,0.120366044,16.376,0.0019,2020yCat.1350....0G,2018A&A...616A...7S
star,lacaille-9352,Lacaille 9352,M0.5V,1.334304,0.119105,-3.002741,-93.627,-13.444,-51.795,3770,0.486,,,,,9.75,2000.0,Position from J2000 direction and Gaia EDR3 parallax 304.1354 mas (SIMBAD/CNS5). Temperature is an M0.5V class estimate. Motion: SIMBAD GJ 887; Gaia EDR3 proper motion (2020yCat.1350....0G) and RV 8.82 km/s (2018A&A...616A...7S); converted to Sun-relative Galactic axes as documented in README.,Piscis Austrinus,346.50391668,-35.847164208,2016.0,304.1354,0.02,6765.995136251,0.020218689,1330.285274718,0.016431512,8.82,0.0006,2020yCat.1350....0G,2018A&A...616A...7S
star,ross-128,Ross 128,M4.0Vn,0.004393,-1.709887,2.909673,17.931,4.836,-32.747,3210,0.168,,,,,13.51,2000.0,Position from J2000 direction and Gaia EDR3 parallax 296.3053 mas (SIMBAD/CNS5). Temperature is an M4V class estimate. Motion: SIMBAD GJ 447; Gaia EDR3 proper motion (2020yCat.1350....0G) and RV -30.66 km/s (2018MNRAS.475.1960F); converted to Sun-relative Galactic axes as documented in README.,Virgo,176.93768799,0.79911997,2016.0,296.3053,0.0302,607.299076681,0.03432964,-1223.028354888,0.022648253,-31.073,0.0024,2020yCat.1350....0G,2018A&A...616A...7S
star,ez-aquarii-a,EZ Aquarii A,M5.0Ve,1.264192,1.359020,-2.855815,,,,3060,0.11,,,,,15.64,2000.0,System position from J2000 direction and 293.60 mas parallax compiled by Torres et al. (2010). Temperature is the unresolved M5V system class estimate.,Aquarius,339.650693945,-15.289647052,2016.0,293.6,0.9,2314.8,8.0,2295.3,8.0,,,2010A&ARv..18...67T; 2012yCat.1322....0Z,
star,ez-aquarii-b,EZ Aquarii B,M?,1.264192,1.359020,-2.855815,,,,3060,0.11,,,,,15.58,2000.0,System position from J2000 direction and 293.60 mas parallax compiled by Torres et al. (2010). Individual subtype is uncertain; temperature uses the unresolved M5V system estimate.,Aquarius,339.650693945,-15.289647052,2016.0,293.6,0.9,2314.8,8.0,2295.3,8.0,,,FROM:GJ866A,
star,ez-aquarii-c,EZ Aquarii C,M?,1.264192,1.359020,-2.855815,,,,3060,0.10,,,,,16.34,2000.0,System position from J2000 direction and 293.60 mas parallax compiled by Torres et al. (2010). Included with A and B because all three components tie across the cutoff.,Aquarius,339.650693945,-15.289647052,2016.0,293.6,0.9,2314.8,8.0,2295.3,8.0,,,FROM:GJ866A,
star,10pc-0030,61 Cyg B,K7,0.465163171,3.448188534,-0.355036758,-92.400290,-53.652772,-8.897231,4100,,,,,,,2000.0,"10pc census (2023-08-25), object 30, system 15; 61 Cyg B. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 K7V mean dwarf class, not a measured temperature. Component-resolved Johnson V not independently established; multi-star system V withheld. No orbital model.",Cygnus,316.753662753,38.756072772,2016.0,286.0054,0.0289,4105.976428209,0.025807729,3155.941639827,0.026797226,-64.248,0.0885,2020yCat.1350....0G,2018A&A...616A...7S
star,10pc-0029,61 Cyg A,K5,0.465033343,3.448411574,-0.354558478,-94.386995,-54.934387,-8.430669,4440,,,,,,,2000.0,"10pc census (2023-08-25), object 29, system 15; 61 Cyg A. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 K5V mean dwarf class, not a measured temperature. Component-resolved Johnson V not independently established; multi-star system V withheld. No orbital model.",Cygnus,316.748479294,38.763862446,2016.0,285.9949,0.0599,4164.208692285,0.055289943,3249.613883849,0.055022996,-65.82,0.06,2020yCat.1350....0G,2018A&A...619A..81H
white_dwarf,10pc-0032,Procyon B,DQZ,-2.848424115,-1.899848594,0.791604980,,,,,,,,,,,2000.0,"10pc census (2023-08-25), object 32, system 16; alf CMi B. J2000 Sun-relative Galactic position via Astropy; transverse-only; unknown/withheld RV, no exported velocity. No appropriate object-specific temperature adopted; dwarf sequence not applied. Component-resolved Johnson V not independently established; multi-star system V withheld. No orbital model.",Canis Minor,114.8245,5.2241111,2000.0,284.56,1.26,-709.0,25.0,-1024.0,25.0,,,FROM:alfCMiA; 2001AJ....121.2189O,
star,10pc-0031,Procyon A,F5.0,-2.848420862,-1.899821564,0.791681555,4.746767,-8.964451,-18.638174,,,,,,,,2000.0,"10pc census (2023-08-25), object 31, system 16; alf CMi A. J2000 Sun-relative Galactic position via Astropy; full-space-motion. No appropriate object-specific temperature adopted; dwarf sequence not applied. Component-resolved Johnson V not independently established; multi-star system V withheld. No orbital model.",Canis Minor,114.825497908,5.224987557,2000.0,284.56,1.26,-714.59,2.6,-1036.8,1.15,-3.2,0.9,2007A&A...474..653V,1953GCRV..C......0W
star,10pc-0034,HD 173740,M3.5,0.040109110,3.212514178,1.445864930,-25.311326,-10.866400,27.513895,3270,,,,,,,2000.0,"10pc census (2023-08-25), object 34, system 17; HD 173740. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M3.5V mean dwarf class, not a measured temperature. Component-resolved Johnson V not independently established; multi-star system V withheld. No orbital model. Source caution: 1976A&AS...26..177B mentioned a perturbation from a 15 Mjup object unconfirmed by 2019A&A...623A..72K",Draco,280.683086246,59.635145455,2016.0,283.8378,0.0287,-1400.263516757,0.03854041,1862.525147749,0.033203878,1.102,0.0037,2020yCat.1350....0G,2018A&A...616A...7S
star,10pc-0033,HD 173739,M3,0.039902863,3.212489140,1.445931401,-24.506823,-11.888025,25.191843,3430,,,,,,,2000.0,"10pc census (2023-08-25), object 33, system 17; HD 173739. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M3V mean dwarf class, not a measured temperature. Component-resolved Johnson V not independently established; multi-star system V withheld. No orbital model.",Draco,280.683070835,59.638357908,2016.0,283.8401,0.022,-1311.679082552,0.02710057,1792.32455583,0.026312303,-0.772,0.005,2020yCat.1350....0G,2018A&A...616A...7S
star,10pc-0035,GX And,M1,-1.517124166,3.019495860,-1.127187719,-49.149059,-12.045781,-3.435859,3660,,,,,,,2000.0,"10pc census (2023-08-25), object 35, system 18; GJ 15 A. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M1V mean dwarf class, not a measured temperature. Component-resolved Johnson V not independently established; multi-star system V withheld. No orbital model.",Andromeda,4.613226258,44.024786744,2016.0,280.7068,0.0203,2891.518077337,0.015489398,411.832020366,0.01302328,11.82,0.0041,2020yCat.1350....0G,2018A&A...616A...7S
star,10pc-0038,GQ And,M3.5e,-1.517739435,3.019431508,-1.127059688,-48.047177,-12.794886,-4.300772,3270,,,,,,,2000.0,"10pc census (2023-08-25), object 38, system 18; GJ 15 B. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M3.5V mean dwarf class, not a measured temperature. Component-resolved Johnson V not independently established; multi-star system V withheld. No orbital model.",Andromeda,4.625300681,44.028744517,2016.0,280.6947,0.0278,2862.796426497,0.022829484,336.431903719,0.01896944,10.997,0.0152,2020yCat.1350....0G,2018A&A...616A...7S
star,10pc-0039,DX Cnc,M6.5,-2.890421650,-0.884495456,1.919820692,-17.486048,-10.142751,-12.470658,2740,,,,,,,2000.0,"10pc census (2023-08-25), object 39, system 19; G 51-15. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M6.5V mean dwarf class, not a measured temperature. Johnson V unknown in source; no G/IR substitution. No orbital model.",Cancer,127.450092402,26.773285965,2016.0,279.2496,0.0637,-1113.693546785,0.06408457,-612.191072829,0.047464374,9.936,0.048,2020yCat.1350....0G,2020A&A...636A..36L
star,10pc-0040,eps Ind A,K5,2.225889646,-0.982076534,-2.706280503,-80.722677,-40.933753,2.335078,4440,,,,,,,2000.0,"10pc census (2023-08-25), object 40, system 20; eps Ind A. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 K5V mean dwarf class, not a measured temperature. Component-resolved Johnson V not independently established; multi-star system V withheld. No orbital model.",Indus,330.87240788,-56.797254661,2016.0,274.8431,0.0956,3966.660538748,0.08557088,-2536.191986804,0.09221277,-40.035,0.0008,2020yCat.1350....0G,2018A&A...616A...7S
star,10pc-0044,tau Cet,G8.5,-1.033495105,0.125054321,-3.500941415,18.733492,29.448773,12.842102,5430,,,,,,5.687083,2000.0,"10pc census (2023-08-25), object 44, system 21; tau Cet. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: linear interpolation between Pecaut-Mamajek 2022.04.16 G8V and G9V mean dwarf classes. Absolute Johnson V derived from 10pc Vmag=3.5 and adopted distance; negligible extinction assumed. Photometric epoch, uncertainty and individual V bibliography not supplied by compilation. No orbital model. Source caution: tau Cet e f g h: candidate planets 2017AJ....154..135F",Cetus,26.009055057,-15.933680201,2016.0,273.8097,0.1701,-1721.727794472,0.18087587,854.963157059,0.08807259,-16.597,0.0007,2020yCat.1350....0G,2018A&A...616A...7S
star,10pc-0045,GJ 1061,M5.5,-0.689559716,-2.105948452,-2.930553658,-3.199918,-20.045838,-3.018060,2930,,,,,,15.244274,2000.0,"10pc census (2023-08-25), object 45, system 22; GJ 1061. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M5.5V mean dwarf class, not a measured temperature. Absolute Johnson V derived from 10pc Vmag=13.07 and adopted distance; negligible extinction assumed. Photometric epoch, uncertainty and individual V bibliography not supplied by compilation. No orbital model.",Horologium,54.003393877,-44.514362316,2016.0,272.1615,0.0316,745.654340004,0.03492798,-373.323280914,0.038019042,14.499,0.0024,2020yCat.1350....0G,2014MNRAS.439.3094B
brown_dwarf,10pc-0042,eps Ind Ba,T1,2.254219405,-0.997962366,-2.751976411,,,,1240,,,,,,,2000.0,"10pc census (2023-08-25), object 42, system 20; eps Ind B. J2000 Sun-relative Galactic position via Astropy; transverse-only; unknown/withheld RV, no exported velocity. Estimated: Pecaut-Mamajek 2022.04.16 T1V mean dwarf class, not a measured temperature. Component-resolved Johnson V not independently established; multi-star system V withheld. No orbital model.",Indus,331.076452597,-56.793812067,2016.0,270.658,0.6896,3981.976662961,0.6016568,-2466.831814766,0.6256827,,,2020yCat.1350....0G,
brown_dwarf,10pc-0043,eps Ind Bb,T6,2.254219405,-0.997962366,-2.751976411,,,,950,,,,,,,2000.0,"10pc census (2023-08-25), object 43, system 20; eps Ind C. J2000 Sun-relative Galactic position via Astropy; transverse-only; unknown/withheld RV, no exported velocity. Estimated: Pecaut-Mamajek 2022.04.16 T6V mean dwarf class, not a measured temperature. Component-resolved Johnson V not independently established; multi-star system V withheld. No orbital model.",Indus,331.076452597,-56.793812067,2016.0,270.658,0.6896,3981.976662961,0.6016568,-2466.831814766,0.6256827,,,FROM:epsIndB; FROM:GJ845B,
star,10pc-0049,YZ Cet,M4e,-0.625462122,0.365413612,-3.644941288,-28.211942,-0.391454,-23.586140,3210,,,,,,14.223490,2000.0,"10pc census (2023-08-25), object 49, system 23; YZ Cet. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M4V mean dwarf class, not a measured temperature. Absolute Johnson V derived from 10pc Vmag=12.074 and adopted distance; negligible extinction assumed. Photometric epoch, uncertainty and individual V bibliography not supplied by compilation. No orbital model.",Cetus,18.133254254,-16.996154872,2016.0,269.0573,0.0337,1205.074450318,0.04133712,637.546633968,0.051560108,27.846,0.023,2020yCat.1350....0G,2020A&A...636A..36L
star,10pc-0053,Luyten's Star,M3.5,-3.146111244,-1.992315402,0.681682002,16.156343,-65.301807,-17.015860,3270,,,,,,11.981231,2000.0,"10pc census (2023-08-25), object 53, system 24; GJ 273. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M3.5V mean dwarf class, not a measured temperature. Absolute Johnson V derived from 10pc Vmag=9.872 and adopted distance; negligible extinction assumed. Photometric epoch, uncertainty and individual V bibliography not supplied by compilation. No orbital model. Source caution: GJ 273 d e: unconfirmed planets 2020A&A...641A..23P",Canis Minor,111.854628443,5.209382702,2016.0,264.1269,0.0413,571.232346729,0.04458072,-3691.486565379,0.03559047,17.895,0.025,2020yCat.1350....0G,2020A&A...636A..36L
star,10pc-0056,Teegarden's Star,M6,-2.878501467,1.032735133,-2.306671396,-66.175920,-72.347013,-56.045728,2810,,,,,,,2000.0,"10pc census (2023-08-25), object 56, system 25; Teegarden's Star. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M6V mean dwarf class, not a measured temperature. Johnson V unknown in source; no G/IR substitution. No orbital model.",Aries,43.269642477,16.864373819,2016.0,260.9884,0.0934,3429.082826808,0.087942876,-3805.541122737,0.08326042,64.01,0.0124,2020yCat.1350....0G,2014MNRAS.439.3094B
star,10pc-0059,Kapteyn's Star,sdM1,-1.059611320,-2.997516814,-2.310066332,20.016789,-288.061815,-52.407587,,0.281,,,,,10.881080,2000.0,"10pc census (2023-08-25), object 59, system 26; Kapteyn's Star. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Unknown, limited, peculiar, subdwarf or unsupported spectral classification. Absolute Johnson V derived from 10pc Vmag=8.853 and adopted distance; negligible extinction assumed. Photometric epoch, uncertainty and individual V bibliography not supplied by compilation. No orbital model. Source caution: Kapteyn's Star c: controversial planet 2014MNRAS.443L..89A Mass: 0.281 +/- 0.014 solar masses adopted from Guinan et al. (2016) Table 1, attributed there to Segransan et al. (2003).",Pictor,77.95993735,-45.043812699,2016.0,254.1986,0.0168,6491.223339062,0.018412089,-5708.614150045,0.020839408,245.234,0.0017,2020yCat.1350....0G,2018A&A...616A...7S
star,10pc-0060,Lacaille 8760,M1,2.836298872,0.193570416,-2.770062333,58.574148,-19.608642,28.966463,3660,,,,,,8.686433,2000.0,"10pc census (2023-08-25), object 60, system 27; AX Mic. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M1V mean dwarf class, not a measured temperature. Absolute Johnson V derived from 10pc Vmag=6.68 and adopted distance; negligible extinction assumed. Photometric epoch, uncertainty and individual V bibliography not supplied by compilation. No orbital model.",Microscopium,319.295018138,-38.872456401,2016.0,251.9124,0.0352,-3258.966218702,0.029930007,-1145.862396912,0.025867643,20.701,0.12,2020yCat.1350....0G,2022yCat.1355....0G
star,10pc-0062,DO Cep,M4,-1.014508377,3.870231218,-0.000155991,28.283950,-21.534010,-1.865868,3210,,,,,,,2000.0,"10pc census (2023-08-25), object 62, system 28; HD 239960 B. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M4V mean dwarf class, not a measured temperature. Component-resolved Johnson V not independently established; multi-star system V withheld. No orbital model.",Cepheus,336.991386092,57.69410078,2016.0,249.9668,0.7414,-934.098,1.319,-686.244,1.41,-28.0,5.0,2018yCat.1345....0G,1953GCRV..C......0W
brown_dwarf,10pc-0064,SCR J1845-6357 B,T6,3.228430369,-1.751477733,-1.597659809,,,,950,,,,,,,2000.0,"10pc census (2023-08-25), object 64, system 29; SCR J1845-6357 B. J2000 Sun-relative Galactic position via Astropy; transverse-only; unknown/withheld RV, no exported velocity. Estimated: Pecaut-Mamajek 2022.04.16 T6V mean dwarf class, not a measured temperature. Component-resolved Johnson V not independently established; multi-star system V withheld. No orbital model. Source caution: Could be EDR3 6439125097425887488 with sep 2.2 arcsec but doubtful  G-Rp=1.3 small for a midT",Pavo,281.28054,-63.961885,2005.5,249.6651,0.133,2583.189785995,0.09070165,588.504138102,0.10340071,,,FROM:SCRJ1845-6357A; FROM:SCRJ1845-6357,
star,10pc-0063,SCR J1845-6357 A,M8,3.228650346,-1.751624787,-1.597792826,-19.422405,36.375576,-33.972629,2570,,,,,,,2000.0,"10pc census (2023-08-25), object 63, system 29; SCR J1845-6357 A. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M8V mean dwarf class, not a measured temperature. Component-resolved Johnson V not independently established; multi-star system V withheld. No orbital model.",Pavo,281.298043862,-63.960567367,2016.0,249.6651,0.133,2583.189785995,0.09070165,588.504138102,0.10340071,-18.0,2.0,2020yCat.1350....0G,2015ApJS..220...18B
star,10pc-0061,Kruger 60 A,M3,-1.016721093,3.879105492,-0.000263571,19.604535,-19.672926,3.565194,3430,,,,,,,2000.0,"10pc census (2023-08-25), object 61, system 28; HD 239960 A. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M3V mean dwarf class, not a measured temperature. Component-resolved Johnson V not independently established; multi-star system V withheld. No orbital model.",Cepheus,336.992112906,57.694032053,2016.0,249.3926,0.1653,-725.227,0.537,-223.461,0.348,-24.0,5.0,2018yCat.1345....0G,1953GCRV..C......0W
star,10pc-0065,DENIS J104814.6-395606,M9,0.583864299,-3.822782631,1.187155930,-11.092804,0.801832,-29.456852,2380,,,,,,19.497283,2000.0,"10pc census (2023-08-25), object 65, system 30; DENIS J104814.6-395606. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M9V mean dwarf class, not a measured temperature. Absolute Johnson V derived from 10pc Vmag=17.532 and adopted distance; negligible extinction assumed. Photometric epoch, uncertainty and individual V bibliography not supplied by compilation. No orbital model.",Antlia,162.053887717,-39.939625947,2016.0,247.2156,0.0512,-1179.311133843,0.055921696,-988.12149596,0.055926006,-11.0,2.0,2020yCat.1350....0G,2015ApJS..220...18B
star,10pc-0066,V577 Mon A,M4.5,-3.434253548,-2.224137378,-0.443517978,-3.270412,-26.665433,4.097167,3110,,,,,,,2000.0,"10pc census (2023-08-25), object 66, system 31; Ross 614 A. J2000 Sun-relative Galactic position via Astropy; full-space-motion. Estimated: Pecaut-Mamajek 2022.04.16 M4.5V mean dwarf class, not a measured temperature. Component-resolved Johnson V not independently established; multi-star system V withheld. No orbital model.",Monoceros,97.350794774,-2.817130718,2016.0,242.9659,0.8833,750.14,1.648,-802.947,1.475,16.7,0.2,2018yCat.1345....0G,2006AstL...32..759G
