type,id,name,spectral_type,x_pc,y_pc,z_pc,vx_kms,vy_kms,vz_kms,temperature_k,mass_solar,luminosity_solar,radius_solar,metallicity_dex,age_gyr,absolute_mag,epoch,notes,constellation,ra_deg,dec_deg,astrometry_epoch,parallax_mas,parallax_error_mas,pm_ra_cosdec_masyr,pm_ra_error_masyr,pm_dec_masyr,pm_dec_error_masyr,radial_velocity_kms,radial_velocity_error_kms,astrometry_ref,radial_velocity_ref
star,bright-regulus,Regulus,B8IVn,-11.009029659,-11.571672948,18.331041438,-23.446360,-4.424984,-15.920115,10965,3.23,246.227,4.3481,0.1668,,-0.529206,2000.0,"Curated bright-star landmark; SIMBAD identity * alf Leo. SIMBAD compiled Johnson V=1.4; absolute V derived from parallax with no extinction correction. Physical parameters: 1999A&A...352..555A, 2018AJ....155...30B, 2023ApJS..266...11B. No component-resolved age was adopted from the reviewed sources.",Leo,152.09296243828146,11.967208776100023,2000.0,41.13,0.35,-248.73,,5.59,,0.719522,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-menkalinan,Menkalinan,A1IV-Vp,-23.876329776,5.312128225,4.493438592,14.737111,-0.164718,-8.668302,8511,,83.970,4.2146,0.37,,-0.078330,2000.0,"Curated bright-star landmark; SIMBAD identity * bet Aur. SIMBAD compiled Johnson V=1.9; absolute V derived from parallax with no extinction correction. Physical parameters: 1999A&A...352..555A, 2012MNRAS.427..343M, 2019MNRAS.485.1067T. No component-resolved age was adopted from the reviewed sources. The entry represents the named unresolved system; physical values describe its integrated or primary-dominated light.",Auriga,89.88217886833333,44.94743257194444,2000.0,40.21,0.23,-56.44,,-0.95,,-15.75,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-alioth,Alioth,A1III-IVpkB9,-6.501163821,10.331655246,22.171835808,14.972011,1.451127,-10.783710,9550,2.82,110.310,4.1397,-0.1,,-0.246465,2000.0,"Curated bright-star landmark; SIMBAD identity * eps UMa. SIMBAD compiled Johnson V=1.77; absolute V derived from parallax with no extinction correction. Physical parameters: 1976IAUCo..32..623E, 1999A&A...352..555A, 2012MNRAS.427..343M, 2014MNRAS.443.1629S. No component-resolved age was adopted from the reviewed sources.",Ursa Major,193.5072899675,55.95982295694445,2000.0,39.51,0.2,111.91,,-8.24,,-12.7,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-gacrux,Gacrux,M3.5III,13.578986446,-23.359905776,2.673013612,17.632898,-17.762685,-31.494105,,,,,,,-0.528991,2000.0,Curated bright-star landmark; SIMBAD identity * gam Cru. SIMBAD compiled Johnson V=1.64; absolute V derived from parallax with no extinction correction. No component-resolved age was adopted from the reviewed sources.,Crux,187.79149837560794,-57.11321345705891,2000.0,36.83,0.18,28.23,,-265.08,,21.0,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-alnair,Alnair,B6V,18.577522109,-3.276226955,-24.560986362,-6.851067,-25.398726,-15.538043,10233,3.14,197.109,4.4668,,,-0.744660,2000.0,"Curated bright-star landmark; SIMBAD identity * alf Gru. SIMBAD compiled Johnson V=1.71; absolute V derived from parallax with no extinction correction. Physical parameters: 1999A&A...352..555A, 2003AJ....125.1598L. No component-resolved age was adopted from the reviewed sources.",Grus,332.05826969609114,-46.96097438191952,2000.0,32.29,0.21,126.69,,-147.47,,10.9,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-alkaid,Alkaid,B3V,-2.469284523,13.073856841,28.957038707,-11.298770,-18.355842,-7.422783,11220,3.32,462.550,3.3995,,,-0.656735,2000.0,"Curated bright-star landmark; SIMBAD identity * eta UMa. SIMBAD compiled Johnson V=1.86; absolute V derived from parallax with no extinction correction. Physical parameters: 1999A&A...352..555A, 2009A&A...501..297Z, 2012MNRAS.427..343M, 2018AJ....155...30B. No component-resolved age was adopted from the reviewed sources.",Ursa Major,206.88515734206297,49.31326672942533,2000.0,31.38,0.24,-121.17,,-14.91,,-13.4,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-alhena,Alhena,A1.5IV+,-31.989373855,-9.642078636,2.601679536,14.439520,-4.813507,-2.982069,9120,,163.450,5.1210,-0.1,,-0.706006,2000.0,"Curated bright-star landmark; SIMBAD identity * gam Gem. SIMBAD compiled Johnson V=1.92; absolute V derived from parallax with no extinction correction. Physical parameters: 1999A&A...352..555A, 2012MNRAS.427..343M, 2016A&A...589A..83G. No component-resolved age was adopted from the reviewed sources. The entry represents the named unresolved system; physical values describe its integrated or primary-dominated light.",Gemini,99.42796042942895,16.399280426663772,2000.0,29.84,2.23,13.81,,-54.96,,-12.63,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-miaplacidus,Miaplacidus,A1III-,9.251143287,-32.308532862,-8.633366725,-31.167387,-1.874555,-5.885236,8318,2.96,211.060,6.3096,,,-1.011530,2000.0,"Curated bright-star landmark; SIMBAD identity * bet Car. SIMBAD compiled Johnson V=1.69; absolute V derived from parallax with no extinction correction. Physical parameters: 1999A&A...352..555A, 2003AJ....125.1598L, 2012MNRAS.427..343M. No component-resolved age was adopted from the reviewed sources.",Carina,138.29990608310192,-69.71720759721548,2000.0,28.82,0.11,-156.47,,108.95,,-5.1,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-dubhe,Dubhe,G9III+A7.5,-18.896122740,14.317622773,29.285617468,-15.349567,-16.429300,-13.965939,4660,,123.263,17.0332,-0.2,,-1.090495,2000.0,"Curated bright-star landmark; SIMBAD identity * alf UMa. SIMBAD compiled Johnson V=1.79; absolute V derived from parallax with no extinction correction. Physical parameters: 2018AJ....155...30B, 2025A&A...698A..93J. No component-resolved age was adopted from the reviewed sources. The entry represents the named unresolved system; physical values describe its integrated or primary-dominated light.",Ursa Major,165.9319646738126,61.751034687818226,2000.0,26.54,0.48,-134.11,,-34.7,,-9.4,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-elnath,Elnath,B7III,-40.938131401,1.433599143,-2.681573725,-9.257132,-30.229719,-15.675834,12589,4.10,595.196,5.1286,,,-1.416614,2000.0,"Curated bright-star landmark; SIMBAD identity * bet Tau. SIMBAD compiled Johnson V=1.65; absolute V derived from parallax with no extinction correction. Physical parameters: 1999A&A...352..555A, 2023MNRAS.519.5472M. No component-resolved age was adopted from the reviewed sources.",Taurus,81.57297133176498,28.607451724998228,2000.0,24.36,0.34,22.76,,-173.58,,9.2,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-achernar,Achernar,B6Vpe,7.881400347,-20.703032265,-36.566566543,-7.351482,-19.711777,-0.327266,14454,5.39,2775.980,8.3176,0.18,,-2.694849,2000.0,"Curated bright-star landmark; SIMBAD identity * alf Eri. SIMBAD compiled Johnson V=0.46; absolute V derived from parallax with no extinction correction. Physical parameters: 1999A&A...352..555A, 2012MNRAS.427..343M, 2023ApJS..266...11B. No component-resolved age was adopted from the reviewed sources.",Eridanus,24.428522833333336,-57.236752805555554,2000.0,23.39,0.57,87.0,,-38.24,,8.47,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-kaus-australis,Kaus Australis,B9IVp_lB?,43.290325348,-0.609154110,-7.484183505,-15.852063,-26.611063,-1.467063,9333,3.47,303.414,6.6624,,,-1.404139,2000.0,"Curated bright-star landmark; SIMBAD identity * eps Sgr. SIMBAD compiled Johnson V=1.81; absolute V derived from parallax with no extinction correction. Physical parameters: 1999A&A...352..555A, 2007ApJ...660.1556R, 2009A&A...501..297Z. No component-resolved age was adopted from the reviewed sources.",Sagittarius,276.0429933505963,-34.38461648586744,2000.0,22.76,0.24,-39.42,,-124.2,,-15.0,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-peacock,Peacock,B2IV,42.338042187,-14.657287956,-31.597256628,-6.062043,-21.629390,-1.559501,12023,,1438.160,8.7404,,,-1.776876,2000.0,"Curated bright-star landmark; SIMBAD identity * alf Pav. SIMBAD compiled Johnson V=1.918; absolute V derived from parallax with no extinction correction. Physical parameters: 1995A&AS..110..553S, 1999A&A...352..555A, 2012MNRAS.427..343M. No component-resolved age was adopted from the reviewed sources. The entry represents the named unresolved system; physical values describe its integrated or primary-dominated light.",Pavo,306.4119043651986,-56.73508972631689,2000.0,18.24,0.52,6.9,,-86.02,,2.0,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-spica,Spica,B1V,34.844511418,-33.517171596,59.374867437,-9.218825,-15.195481,-7.436307,22387,,17079.900,8.6877,-0.02,,-3.450284,2000.0,"Curated bright-star landmark; SIMBAD identity * alf Vir. SIMBAD compiled Johnson V=0.97; absolute V derived from parallax with no extinction correction. Physical parameters: 1999A&A...352..555A, 2012MNRAS.427..343M, 2023ApJS..266...11B. No component-resolved age was adopted from the reviewed sources. The entry represents the named unresolved system; physical values describe its integrated or primary-dominated light.",Virgo,201.2982473615632,-11.161319485111932,2000.0,13.06,0.7,-42.35,,-30.67,,-3.31,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-bellatrix,Bellatrix,B2III,-71.194073217,-21.668205167,-21.273386474,-13.872815,-6.891170,-9.533122,21380,7.77,9210.780,5.7544,,,-2.803687,2000.0,"Curated bright-star landmark; SIMBAD identity * gam Ori. SIMBAD compiled Johnson V=1.64; absolute V derived from parallax with no extinction correction. Physical parameters: 1999A&A...352..555A, 2012MNRAS.427..343M, 2023MNRAS.519.5472M. No component-resolved age was adopted from the reviewed sources.",Orion,81.28276355652378,6.3497032644440665,2000.0,12.92,0.52,-8.11,,-12.88,,17.31,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-mimosa,Mimosa,B1IV,45.765803798,-71.942475164,4.736619062,-8.873296,-18.280449,-6.219022,24107,,15443.500,7.1243,,,-3.407216,2000.0,"Curated bright-star landmark; SIMBAD identity * bet Cru. SIMBAD compiled Johnson V=1.25; absolute V derived from parallax with no extinction correction. Physical parameters: 2012MNRAS.427..343M, 2024A&A...687A.228D. No component-resolved age was adopted from the reviewed sources. The entry represents the named unresolved system; physical values describe its integrated or primary-dominated light.",Crux,191.9302865619529,-59.68877199622606,2000.0,11.71,0.98,-42.97,,-16.18,,10.3,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-sargas,Sargas,F1III,89.283151034,-20.384754641,-9.586294661,4.768882,-0.961251,-3.296798,6607,,1179.110,23.4423,-0.44,,-2.970851,2000.0,"Curated bright-star landmark; SIMBAD identity * tet Sco. SIMBAD compiled Johnson V=1.85; absolute V derived from parallax with no extinction correction. Physical parameters: 1999A&A...352..555A, 2012MNRAS.427..343M, 2023ApJS..266...11B. No component-resolved age was adopted from the reviewed sources.",Scorpius,264.3297077207907,-42.99782799333082,2000.0,10.86,1.49,5.54,,-3.12,,5.18,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-canopus,Canopus,A9II,-13.093086704,-84.694470999,-40.496195136,-11.729269,-21.499201,1.241232,7021,,11642.800,72.9262,-0.272,,-5.623738,2000.0,"Curated bright-star landmark; SIMBAD identity * alf Car. SIMBAD compiled Johnson V=-0.74; absolute V derived from parallax with no extinction correction. Physical parameters: 2012MNRAS.427..343M, 2023ApJS..266...11B. No component-resolved age was adopted from the reviewed sources.",Carina,95.98795782918306,-52.69566138386201,2000.0,10.55,0.56,19.93,,23.24,,20.3,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-acrux,Acrux,B0.5IV+B1V,49.546085232,-85.380199179,-0.624941661,-7.910289,-18.286102,-8.611025,24547,,36602.600,10.5782,,,-4.211953,2000.0,"Curated bright-star landmark; SIMBAD identity * alf Cru. Bright Star Catalogue V=0.76; absolute V derived from parallax with no extinction correction. Physical parameters: 1999A&A...352..555A, 2012MNRAS.427..343M. No component-resolved age was adopted from the reviewed sources. The entry represents the named unresolved system; physical values describe its integrated or primary-dominated light.",Crux,186.64956340120452,-63.099092857925115,2000.0,10.13,0.5,-35.83,,-14.86,,11.9,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-atria,Atria,K2III_Ba1,90.466313481,-71.867937018,-31.518535707,-11.163834,-1.353401,-17.558027,4392,,3939.560,108.4056,0.0,,-3.511568,2000.0,"Curated bright-star landmark; SIMBAD identity * alf TrA. SIMBAD compiled Johnson V=1.88; absolute V derived from parallax with no extinction correction. Physical parameters: 2012MNRAS.427..343M, 2022A&A...663A...4S. No component-resolved age was adopted from the reviewed sources.",Triangulum Australe,252.1662295073803,-69.02771184691984,2000.0,8.35,0.15,17.99,,-31.58,,-3.0,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-hadar,Hadar,B1III,80.041301226,-89.625297534,2.624303219,-14.522515,-16.565197,-7.382950,21001,,36925.300,14.5156,-0.258,,-4.819383,2000.0,"Curated bright-star landmark; SIMBAD identity * bet Cen. SIMBAD compiled Johnson V=0.58; absolute V derived from parallax with no extinction correction. Physical parameters: 2012MNRAS.427..343M, 2023ApJS..266...11B. No component-resolved age was adopted from the reviewed sources. The entry represents the named unresolved system; physical values describe its integrated or primary-dominated light.",Centaurus,210.95585562281522,-60.373035161541594,2000.0,8.32,0.5,-33.27,,-23.16,,2.52,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-adhara,Adhara,B1.5II,-61.212183573,-105.304310156,-24.404390175,-13.576172,-23.538390,-3.342974,22127,,20729.500,9.7972,,,-3.971021,2000.0,"Curated bright-star landmark; SIMBAD identity * eps CMa. SIMBAD compiled Johnson V=1.5; absolute V derived from parallax with no extinction correction. Physical parameters: 2012MNRAS.427..343M, 2024A&A...687A.228D. No component-resolved age was adopted from the reviewed sources.",Canis Major,104.65645315148348,-28.972086157360806,2000.0,8.05,0.14,3.24,,1.33,,27.3,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-betelgeuse,Betelgeuse,M1-M2Ia-Iab,-141.904978899,-51.053212667,-23.774175799,-22.640061,-10.843775,17.721276,3659,,73524.200,674.7501,,,-5.498794,2000.0,"Curated bright-star landmark; SIMBAD identity * alf Ori. SIMBAD compiled Johnson V=0.42; absolute V derived from parallax with no extinction correction. Physical parameters: 2012MNRAS.427..343M, 2023MNRAS.519.5472M. No component-resolved age was adopted from the reviewed sources.",Orion,88.79293899077537,7.407063995272694,2000.0,6.55,0.83,27.54,,11.3,,21.91,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-mirfak,Mirfak,F5Ib,-128.910230351,85.101863321,-15.860310591,-11.572319,-22.613046,-6.149236,6228,,3784.070,52.8366,-0.159,,-4.165571,2000.0,"Curated bright-star landmark; SIMBAD identity * alf Per. SIMBAD compiled Johnson V=1.79; absolute V derived from parallax with no extinction correction. Physical parameters: 2012MNRAS.427..343M, 2025ApJ...985..176B. No component-resolved age was adopted from the reviewed sources.",Perseus,51.08070871833333,49.86117929305556,2000.0,6.44,0.17,23.75,,-26.23,,-2.158,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-antares,Antares,M1.5Iab+B2Vn,162.328139849,-22.966496114,44.126197830,-4.911332,-20.022684,-5.820374,3548,15,66430.900,682.1352,,0.013,-5.239424,2000.0,"Curated bright-star landmark; SIMBAD identity * alf Sco. SIMBAD compiled Johnson V=0.91; absolute V derived from parallax with no extinction correction. Physical parameters: 2012MNRAS.427..343M, 2013A&A...555A..24O. Age source detail: Antares A mass 15 +/- 5 solar; age midpoint of the published 11-15 Myr range.",Scorpius,247.3519154198264,-26.432002611950832,2000.0,5.89,1.0,-12.11,,-23.3,,-3.5,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-shaula,Shaula,B2IV+DA7.9,173.187083465,-25.128351033,-6.766780847,-6.905596,-24.581525,-7.813573,24900,10.4,48238.400,11.8019,,,-4.586819,2000.0,"Curated bright-star landmark; SIMBAD identity * lam Sco. SIMBAD compiled Johnson V=1.63; absolute V derived from parallax with no extinction correction. Physical parameters: 2006MNRAS.370..884T, 2012MNRAS.427..343M. No component-resolved age was adopted from the reviewed sources. The entry represents the named unresolved system; physical values describe its integrated or primary-dominated light.",Scorpius,263.40216718438023,-37.10382355111976,2000.0,5.71,0.75,-8.53,,-30.8,,-3.0,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-avior,Avior,K3:III+B2:V,13.529939796,-180.553713051,-40.474894597,-27.672835,-11.594219,-10.702094,4209,,14086.300,223.1995,,,-4.482056,2000.0,Curated bright-star landmark; SIMBAD identity * eps Car. SIMBAD compiled Johnson V=1.86; absolute V derived from parallax with no extinction correction. Physical parameters: 2012MNRAS.427..343M. No component-resolved age was adopted from the reviewed sources. The entry represents the named unresolved system; physical values describe its integrated or primary-dominated light.,Carina,125.62848024272952,-59.509484191917416,2000.0,5.39,0.42,-25.52,,22.06,,11.6,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-rigel,Rigel,B8Ia,-208.791462535,-116.886619274,-112.829454832,-14.620570,-8.371149,-6.007911,11968,,83226.200,74.0262,-0.159,,-6.982541,2000.0,"Curated bright-star landmark; SIMBAD identity * bet Ori. SIMBAD compiled Johnson V=0.13; absolute V derived from parallax with no extinction correction. Physical parameters: 2012MNRAS.427..343M, 2018AJ....155...30B, 2023ApJS..266...11B. No component-resolved age was adopted from the reviewed sources. The entry represents the named unresolved system; physical values describe its integrated or primary-dominated light.",Orion,78.63446706693006,-8.201638364722209,2000.0,3.78,0.34,1.31,,0.5,,17.8,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
